Country,Original_id,Authors,Voting,Date,baseline_pred,mod_pred
FRANCE,2282,"['Albania', 'Angola', 'Argentina', 'Australia', 'Austria', 'Belgium', 'Bulgaria', 'Canada', 'Central African Republic', 'Costa Rica', ""Côte d'Ivoire"", 'Croatia', 'Cyprus', 'Czechia', 'Djibouti', 'Dominican Republic', 'Ecuador', 'Egypt', 'Equatorial Guinea', 'Estonia', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Guatemala', 'Hungary', 'Iceland', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Japan', 'Kazakhstan', 'Kuwait', 'Latvia', 'Lebanon', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Malta', 'Mexico', 'Montenegro', 'Morocco', 'Netherlands', 'New Zealand', 'North Macedonia', 'Norway', 'Peru', 'Poland', 'Portugal', 'Qatar', 'Republic of Korea', 'Republic of Moldova', 'San Marino', 'Serbia', 'Sierra Leone', 'Slovakia', 'Slovenia', 'Somalia', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'Turkey', 'Ukraine', 'United Kingdom', 'United States']",Y,2019-06-20,Y,Y
RUSSIAN FEDERATION,2282,"['Albania', 'Angola', 'Argentina', 'Australia', 'Austria', 'Belgium', 'Bulgaria', 'Canada', 'Central African Republic', 'Costa Rica', ""Côte d'Ivoire"", 'Croatia', 'Cyprus', 'Czechia', 'Djibouti', 'Dominican Republic', 'Ecuador', 'Egypt', 'Equatorial Guinea', 'Estonia', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Guatemala', 'Hungary', 'Iceland', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Japan', 'Kazakhstan', 'Kuwait', 'Latvia', 'Lebanon', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Malta', 'Mexico', 'Montenegro', 'Morocco', 'Netherlands', 'New Zealand', 'North Macedonia', 'Norway', 'Peru', 'Poland', 'Portugal', 'Qatar', 'Republic of Korea', 'Republic of Moldova', 'San Marino', 'Serbia', 'Sierra Leone', 'Slovakia', 'Slovenia', 'Somalia', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'Turkey', 'Ukraine', 'United Kingdom', 'United States']",Y,2019-06-20,N,Y
UNITED KINGDOM,2282,"['Albania', 'Angola', 'Argentina', 'Australia', 'Austria', 'Belgium', 'Bulgaria', 'Canada', 'Central African Republic', 'Costa Rica', ""Côte d'Ivoire"", 'Croatia', 'Cyprus', 'Czechia', 'Djibouti', 'Dominican Republic', 'Ecuador', 'Egypt', 'Equatorial Guinea', 'Estonia', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Guatemala', 'Hungary', 'Iceland', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Japan', 'Kazakhstan', 'Kuwait', 'Latvia', 'Lebanon', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Malta', 'Mexico', 'Montenegro', 'Morocco', 'Netherlands', 'New Zealand', 'North Macedonia', 'Norway', 'Peru', 'Poland', 'Portugal', 'Qatar', 'Republic of Korea', 'Republic of Moldova', 'San Marino', 'Serbia', 'Sierra Leone', 'Slovakia', 'Slovenia', 'Somalia', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'Turkey', 'Ukraine', 'United Kingdom', 'United States']",Y,2019-06-20,Y,Y
UNITED STATES,2282,"['Albania', 'Angola', 'Argentina', 'Australia', 'Austria', 'Belgium', 'Bulgaria', 'Canada', 'Central African Republic', 'Costa Rica', ""Côte d'Ivoire"", 'Croatia', 'Cyprus', 'Czechia', 'Djibouti', 'Dominican Republic', 'Ecuador', 'Egypt', 'Equatorial Guinea', 'Estonia', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Guatemala', 'Hungary', 'Iceland', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Japan', 'Kazakhstan', 'Kuwait', 'Latvia', 'Lebanon', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Malta', 'Mexico', 'Montenegro', 'Morocco', 'Netherlands', 'New Zealand', 'North Macedonia', 'Norway', 'Peru', 'Poland', 'Portugal', 'Qatar', 'Republic of Korea', 'Republic of Moldova', 'San Marino', 'Serbia', 'Sierra Leone', 'Slovakia', 'Slovenia', 'Somalia', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'Turkey', 'Ukraine', 'United Kingdom', 'United States']",Y,2019-06-20,Y,Y
GERMANY,2282,"['Albania', 'Angola', 'Argentina', 'Australia', 'Austria', 'Belgium', 'Bulgaria', 'Canada', 'Central African Republic', 'Costa Rica', ""Côte d'Ivoire"", 'Croatia', 'Cyprus', 'Czechia', 'Djibouti', 'Dominican Republic', 'Ecuador', 'Egypt', 'Equatorial Guinea', 'Estonia', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Guatemala', 'Hungary', 'Iceland', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Japan', 'Kazakhstan', 'Kuwait', 'Latvia', 'Lebanon', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Malta', 'Mexico', 'Montenegro', 'Morocco', 'Netherlands', 'New Zealand', 'North Macedonia', 'Norway', 'Peru', 'Poland', 'Portugal', 'Qatar', 'Republic of Korea', 'Republic of Moldova', 'San Marino', 'Serbia', 'Sierra Leone', 'Slovakia', 'Slovenia', 'Somalia', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'Turkey', 'Ukraine', 'United Kingdom', 'United States']",Y,2019-06-20,Y,Y
INDONESIA,2282,"['Albania', 'Angola', 'Argentina', 'Australia', 'Austria', 'Belgium', 'Bulgaria', 'Canada', 'Central African Republic', 'Costa Rica', ""Côte d'Ivoire"", 'Croatia', 'Cyprus', 'Czechia', 'Djibouti', 'Dominican Republic', 'Ecuador', 'Egypt', 'Equatorial Guinea', 'Estonia', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Guatemala', 'Hungary', 'Iceland', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Japan', 'Kazakhstan', 'Kuwait', 'Latvia', 'Lebanon', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Malta', 'Mexico', 'Montenegro', 'Morocco', 'Netherlands', 'New Zealand', 'North Macedonia', 'Norway', 'Peru', 'Poland', 'Portugal', 'Qatar', 'Republic of Korea', 'Republic of Moldova', 'San Marino', 'Serbia', 'Sierra Leone', 'Slovakia', 'Slovenia', 'Somalia', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'Turkey', 'Ukraine', 'United Kingdom', 'United States']",Y,2019-06-20,Y,Y
POLAND,2282,"['Albania', 'Angola', 'Argentina', 'Australia', 'Austria', 'Belgium', 'Bulgaria', 'Canada', 'Central African Republic', 'Costa Rica', ""Côte d'Ivoire"", 'Croatia', 'Cyprus', 'Czechia', 'Djibouti', 'Dominican Republic', 'Ecuador', 'Egypt', 'Equatorial Guinea', 'Estonia', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Guatemala', 'Hungary', 'Iceland', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Japan', 'Kazakhstan', 'Kuwait', 'Latvia', 'Lebanon', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Malta', 'Mexico', 'Montenegro', 'Morocco', 'Netherlands', 'New Zealand', 'North Macedonia', 'Norway', 'Peru', 'Poland', 'Portugal', 'Qatar', 'Republic of Korea', 'Republic of Moldova', 'San Marino', 'Serbia', 'Sierra Leone', 'Slovakia', 'Slovenia', 'Somalia', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'Turkey', 'Ukraine', 'United Kingdom', 'United States']",Y,2019-06-20,Y,Y
PERU,2282,"['Albania', 'Angola', 'Argentina', 'Australia', 'Austria', 'Belgium', 'Bulgaria', 'Canada', 'Central African Republic', 'Costa Rica', ""Côte d'Ivoire"", 'Croatia', 'Cyprus', 'Czechia', 'Djibouti', 'Dominican Republic', 'Ecuador', 'Egypt', 'Equatorial Guinea', 'Estonia', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Guatemala', 'Hungary', 'Iceland', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Japan', 'Kazakhstan', 'Kuwait', 'Latvia', 'Lebanon', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Malta', 'Mexico', 'Montenegro', 'Morocco', 'Netherlands', 'New Zealand', 'North Macedonia', 'Norway', 'Peru', 'Poland', 'Portugal', 'Qatar', 'Republic of Korea', 'Republic of Moldova', 'San Marino', 'Serbia', 'Sierra Leone', 'Slovakia', 'Slovenia', 'Somalia', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'Turkey', 'Ukraine', 'United Kingdom', 'United States']",Y,2019-06-20,Y,Y
BELGIUM,2282,"['Albania', 'Angola', 'Argentina', 'Australia', 'Austria', 'Belgium', 'Bulgaria', 'Canada', 'Central African Republic', 'Costa Rica', ""Côte d'Ivoire"", 'Croatia', 'Cyprus', 'Czechia', 'Djibouti', 'Dominican Republic', 'Ecuador', 'Egypt', 'Equatorial Guinea', 'Estonia', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Guatemala', 'Hungary', 'Iceland', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Japan', 'Kazakhstan', 'Kuwait', 'Latvia', 'Lebanon', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Malta', 'Mexico', 'Montenegro', 'Morocco', 'Netherlands', 'New Zealand', 'North Macedonia', 'Norway', 'Peru', 'Poland', 'Portugal', 'Qatar', 'Republic of Korea', 'Republic of Moldova', 'San Marino', 'Serbia', 'Sierra Leone', 'Slovakia', 'Slovenia', 'Somalia', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'Turkey', 'Ukraine', 'United Kingdom', 'United States']",Y,2019-06-20,Y,Y
SOUTH AFRICA,2282,"['Albania', 'Angola', 'Argentina', 'Australia', 'Austria', 'Belgium', 'Bulgaria', 'Canada', 'Central African Republic', 'Costa Rica', ""Côte d'Ivoire"", 'Croatia', 'Cyprus', 'Czechia', 'Djibouti', 'Dominican Republic', 'Ecuador', 'Egypt', 'Equatorial Guinea', 'Estonia', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Guatemala', 'Hungary', 'Iceland', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Japan', 'Kazakhstan', 'Kuwait', 'Latvia', 'Lebanon', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Malta', 'Mexico', 'Montenegro', 'Morocco', 'Netherlands', 'New Zealand', 'North Macedonia', 'Norway', 'Peru', 'Poland', 'Portugal', 'Qatar', 'Republic of Korea', 'Republic of Moldova', 'San Marino', 'Serbia', 'Sierra Leone', 'Slovakia', 'Slovenia', 'Somalia', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'Turkey', 'Ukraine', 'United Kingdom', 'United States']",Y,2019-06-20,Y,Y
CÔTE D'IVOIRE,2282,"['Albania', 'Angola', 'Argentina', 'Australia', 'Austria', 'Belgium', 'Bulgaria', 'Canada', 'Central African Republic', 'Costa Rica', ""Côte d'Ivoire"", 'Croatia', 'Cyprus', 'Czechia', 'Djibouti', 'Dominican Republic', 'Ecuador', 'Egypt', 'Equatorial Guinea', 'Estonia', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Guatemala', 'Hungary', 'Iceland', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Japan', 'Kazakhstan', 'Kuwait', 'Latvia', 'Lebanon', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Malta', 'Mexico', 'Montenegro', 'Morocco', 'Netherlands', 'New Zealand', 'North Macedonia', 'Norway', 'Peru', 'Poland', 'Portugal', 'Qatar', 'Republic of Korea', 'Republic of Moldova', 'San Marino', 'Serbia', 'Sierra Leone', 'Slovakia', 'Slovenia', 'Somalia', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'Turkey', 'Ukraine', 'United Kingdom', 'United States']",Y,2019-06-20,Y,Y
EQUATORIAL GUINEA,2282,"['Albania', 'Angola', 'Argentina', 'Australia', 'Austria', 'Belgium', 'Bulgaria', 'Canada', 'Central African Republic', 'Costa Rica', ""Côte d'Ivoire"", 'Croatia', 'Cyprus', 'Czechia', 'Djibouti', 'Dominican Republic', 'Ecuador', 'Egypt', 'Equatorial Guinea', 'Estonia', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Guatemala', 'Hungary', 'Iceland', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Japan', 'Kazakhstan', 'Kuwait', 'Latvia', 'Lebanon', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Malta', 'Mexico', 'Montenegro', 'Morocco', 'Netherlands', 'New Zealand', 'North Macedonia', 'Norway', 'Peru', 'Poland', 'Portugal', 'Qatar', 'Republic of Korea', 'Republic of Moldova', 'San Marino', 'Serbia', 'Sierra Leone', 'Slovakia', 'Slovenia', 'Somalia', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'Turkey', 'Ukraine', 'United Kingdom', 'United States']",Y,2019-06-20,Y,Y
KUWAIT,2282,"['Albania', 'Angola', 'Argentina', 'Australia', 'Austria', 'Belgium', 'Bulgaria', 'Canada', 'Central African Republic', 'Costa Rica', ""Côte d'Ivoire"", 'Croatia', 'Cyprus', 'Czechia', 'Djibouti', 'Dominican Republic', 'Ecuador', 'Egypt', 'Equatorial Guinea', 'Estonia', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Guatemala', 'Hungary', 'Iceland', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Japan', 'Kazakhstan', 'Kuwait', 'Latvia', 'Lebanon', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Malta', 'Mexico', 'Montenegro', 'Morocco', 'Netherlands', 'New Zealand', 'North Macedonia', 'Norway', 'Peru', 'Poland', 'Portugal', 'Qatar', 'Republic of Korea', 'Republic of Moldova', 'San Marino', 'Serbia', 'Sierra Leone', 'Slovakia', 'Slovenia', 'Somalia', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'Turkey', 'Ukraine', 'United Kingdom', 'United States']",Y,2019-06-20,Y,Y
DOMINICAN REPUBLIC,2282,"['Albania', 'Angola', 'Argentina', 'Australia', 'Austria', 'Belgium', 'Bulgaria', 'Canada', 'Central African Republic', 'Costa Rica', ""Côte d'Ivoire"", 'Croatia', 'Cyprus', 'Czechia', 'Djibouti', 'Dominican Republic', 'Ecuador', 'Egypt', 'Equatorial Guinea', 'Estonia', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Guatemala', 'Hungary', 'Iceland', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Japan', 'Kazakhstan', 'Kuwait', 'Latvia', 'Lebanon', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Malta', 'Mexico', 'Montenegro', 'Morocco', 'Netherlands', 'New Zealand', 'North Macedonia', 'Norway', 'Peru', 'Poland', 'Portugal', 'Qatar', 'Republic of Korea', 'Republic of Moldova', 'San Marino', 'Serbia', 'Sierra Leone', 'Slovakia', 'Slovenia', 'Somalia', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'Turkey', 'Ukraine', 'United Kingdom', 'United States']",Y,2019-06-20,Y,Y
CHINA,2285,"['Russian Federation', 'United States']",Y,2019-06-26,A,Y
FRANCE,2285,"['Russian Federation', 'United States']",Y,2019-06-26,Y,Y
RUSSIAN FEDERATION,2285,"['Russian Federation', 'United States']",Y,2019-06-26,N,Y
UNITED KINGDOM,2285,"['Russian Federation', 'United States']",Y,2019-06-26,Y,Y
UNITED STATES,2285,"['Russian Federation', 'United States']",Y,2019-06-26,Y,Y
GERMANY,2285,"['Russian Federation', 'United States']",Y,2019-06-26,Y,Y
INDONESIA,2285,"['Russian Federation', 'United States']",Y,2019-06-26,Y,Y
POLAND,2285,"['Russian Federation', 'United States']",Y,2019-06-26,Y,Y
PERU,2285,"['Russian Federation', 'United States']",Y,2019-06-26,Y,Y
BELGIUM,2285,"['Russian Federation', 'United States']",Y,2019-06-26,Y,Y
SOUTH AFRICA,2285,"['Russian Federation', 'United States']",Y,2019-06-26,Y,Y
CÔTE D'IVOIRE,2285,"['Russian Federation', 'United States']",Y,2019-06-26,Y,Y
EQUATORIAL GUINEA,2285,"['Russian Federation', 'United States']",Y,2019-06-26,Y,Y
KUWAIT,2285,"['Russian Federation', 'United States']",Y,2019-06-26,Y,Y
DOMINICAN REPUBLIC,2285,"['Russian Federation', 'United States']",Y,2019-06-26,Y,Y
CHINA,2295,['United Kingdom'],Y,2019-09-12,A,Y
FRANCE,2295,['United Kingdom'],Y,2019-09-12,Y,Y
RUSSIAN FEDERATION,2295,['United Kingdom'],Y,2019-09-12,N,Y
UNITED KINGDOM,2295,['United Kingdom'],Y,2019-09-12,Y,Y
UNITED STATES,2295,['United Kingdom'],Y,2019-09-12,Y,Y
GERMANY,2295,['United Kingdom'],Y,2019-09-12,Y,Y
INDONESIA,2295,['United Kingdom'],Y,2019-09-12,Y,Y
POLAND,2295,['United Kingdom'],Y,2019-09-12,Y,Y
PERU,2295,['United Kingdom'],Y,2019-09-12,Y,Y
BELGIUM,2295,['United Kingdom'],Y,2019-09-12,Y,Y
SOUTH AFRICA,2295,['United Kingdom'],Y,2019-09-12,Y,Y
CÔTE D'IVOIRE,2295,['United Kingdom'],Y,2019-09-12,Y,Y
EQUATORIAL GUINEA,2295,['United Kingdom'],Y,2019-09-12,Y,Y
KUWAIT,2295,['United Kingdom'],Y,2019-09-12,Y,Y
DOMINICAN REPUBLIC,2295,['United Kingdom'],Y,2019-09-12,Y,Y
CHINA,2305,['United Kingdom'],A,2019-11-15,N,Y
FRANCE,2305,['United Kingdom'],Y,2019-11-15,Y,Y
RUSSIAN FEDERATION,2305,['United Kingdom'],A,2019-11-15,N,Y
UNITED KINGDOM,2305,['United Kingdom'],Y,2019-11-15,Y,Y
UNITED STATES,2305,['United Kingdom'],Y,2019-11-15,Y,Y
GERMANY,2305,['United Kingdom'],Y,2019-11-15,Y,Y
INDONESIA,2305,['United Kingdom'],Y,2019-11-15,Y,Y
POLAND,2305,['United Kingdom'],Y,2019-11-15,Y,Y
PERU,2305,['United Kingdom'],Y,2019-11-15,Y,Y
BELGIUM,2305,['United Kingdom'],Y,2019-11-15,Y,Y
SOUTH AFRICA,2305,['United Kingdom'],Y,2019-11-15,Y,Y
CÔTE D'IVOIRE,2305,['United Kingdom'],Y,2019-11-15,Y,Y
EQUATORIAL GUINEA,2305,['United Kingdom'],A,2019-11-15,Y,Y
KUWAIT,2305,['United Kingdom'],Y,2019-11-15,Y,Y
DOMINICAN REPUBLIC,2305,['United Kingdom'],Y,2019-11-15,Y,Y
CHINA,2307,['United States'],Y,2019-12-16,A,Y
FRANCE,2307,['United States'],Y,2019-12-16,Y,Y
RUSSIAN FEDERATION,2307,['United States'],Y,2019-12-16,N,Y
UNITED KINGDOM,2307,['United States'],Y,2019-12-16,Y,Y
UNITED STATES,2307,['United States'],Y,2019-12-16,Y,Y
GERMANY,2307,['United States'],Y,2019-12-16,Y,Y
INDONESIA,2307,['United States'],Y,2019-12-16,Y,Y
POLAND,2307,['United States'],Y,2019-12-16,Y,Y
PERU,2307,['United States'],Y,2019-12-16,Y,Y
BELGIUM,2307,['United States'],Y,2019-12-16,Y,Y
SOUTH AFRICA,2307,['United States'],Y,2019-12-16,Y,Y
CÔTE D'IVOIRE,2307,['United States'],Y,2019-12-16,Y,Y
EQUATORIAL GUINEA,2307,['United States'],Y,2019-12-16,Y,Y
KUWAIT,2307,['United States'],Y,2019-12-16,Y,Y
DOMINICAN REPUBLIC,2307,['United States'],Y,2019-12-16,Y,Y
CHINA,2324,['United Kingdom'],Y,2020-03-30,A,Y
FRANCE,2324,['United Kingdom'],Y,2020-03-30,Y,Y
RUSSIAN FEDERATION,2324,['United Kingdom'],Y,2020-03-30,N,Y
UNITED KINGDOM,2324,['United Kingdom'],Y,2020-03-30,Y,Y
UNITED STATES,2324,['United Kingdom'],Y,2020-03-30,Y,Y
GERMANY,2324,['United Kingdom'],Y,2020-03-30,Y,Y
INDONESIA,2324,['United Kingdom'],Y,2020-03-30,Y,Y
TUNISIA,2324,['United Kingdom'],Y,2020-03-30,Y,Y
BELGIUM,2324,['United Kingdom'],Y,2020-03-30,Y,Y
SOUTH AFRICA,2324,['United Kingdom'],Y,2020-03-30,Y,Y
VIET NAM,2324,['United Kingdom'],Y,2020-03-30,Y,Y
DOMINICAN REPUBLIC,2324,['United Kingdom'],Y,2020-03-30,Y,Y
ESTONIA,2324,['United Kingdom'],Y,2020-03-30,Y,Y
NIGER,2324,['United Kingdom'],Y,2020-03-30,Y,Y
SAINT VINCENT AND THE GRENADINES,2324,['United Kingdom'],Y,2020-03-30,Y,Y
CHINA,2326,['United States'],A,2020-05-29,A,Y
FRANCE,2326,['United States'],Y,2020-05-29,Y,Y
RUSSIAN FEDERATION,2326,['United States'],A,2020-05-29,N,Y
UNITED KINGDOM,2326,['United States'],Y,2020-05-29,Y,Y
UNITED STATES,2326,['United States'],Y,2020-05-29,Y,Y
GERMANY,2326,['United States'],Y,2020-05-29,Y,Y
INDONESIA,2326,['United States'],Y,2020-05-29,Y,Y
TUNISIA,2326,['United States'],Y,2020-05-29,Y,Y
BELGIUM,2326,['United States'],Y,2020-05-29,Y,Y
SOUTH AFRICA,2326,['United States'],A,2020-05-29,Y,Y
VIET NAM,2326,['United States'],Y,2020-05-29,Y,Y
DOMINICAN REPUBLIC,2326,['United States'],Y,2020-05-29,Y,Y
ESTONIA,2326,['United States'],Y,2020-05-29,Y,Y
NIGER,2326,['United States'],Y,2020-05-29,Y,Y
SAINT VINCENT AND THE GRENADINES,2326,['United States'],Y,2020-05-29,Y,Y
CHINA,2338,"['France', 'Tunisia']",Y,2020-07-01,N,Y
FRANCE,2338,"['France', 'Tunisia']",Y,2020-07-01,Y,Y
RUSSIAN FEDERATION,2338,"['France', 'Tunisia']",Y,2020-07-01,N,A
UNITED KINGDOM,2338,"['France', 'Tunisia']",Y,2020-07-01,Y,Y
UNITED STATES,2338,"['France', 'Tunisia']",Y,2020-07-01,Y,Y
GERMANY,2338,"['France', 'Tunisia']",Y,2020-07-01,Y,Y
INDONESIA,2338,"['France', 'Tunisia']",Y,2020-07-01,Y,Y
TUNISIA,2338,"['France', 'Tunisia']",Y,2020-07-01,Y,Y
BELGIUM,2338,"['France', 'Tunisia']",Y,2020-07-01,Y,Y
SOUTH AFRICA,2338,"['France', 'Tunisia']",Y,2020-07-01,Y,Y
VIET NAM,2338,"['France', 'Tunisia']",Y,2020-07-01,Y,Y
DOMINICAN REPUBLIC,2338,"['France', 'Tunisia']",Y,2020-07-01,Y,Y
ESTONIA,2338,"['France', 'Tunisia']",Y,2020-07-01,Y,Y
NIGER,2338,"['France', 'Tunisia']",Y,2020-07-01,Y,Y
SAINT VINCENT AND THE GRENADINES,2338,"['France', 'Tunisia']",Y,2020-07-01,Y,Y
CHINA,2350,['United Kingdom'],Y,2020-09-18,N,Y
FRANCE,2350,['United Kingdom'],Y,2020-09-18,Y,Y
RUSSIAN FEDERATION,2350,['United Kingdom'],Y,2020-09-18,N,Y
UNITED KINGDOM,2350,['United Kingdom'],Y,2020-09-18,Y,Y
UNITED STATES,2350,['United Kingdom'],Y,2020-09-18,Y,Y
GERMANY,2350,['United Kingdom'],Y,2020-09-18,Y,Y
INDONESIA,2350,['United Kingdom'],Y,2020-09-18,Y,Y
TUNISIA,2350,['United Kingdom'],Y,2020-09-18,Y,Y
BELGIUM,2350,['United Kingdom'],Y,2020-09-18,Y,Y
SOUTH AFRICA,2350,['United Kingdom'],Y,2020-09-18,Y,Y
VIET NAM,2350,['United Kingdom'],Y,2020-09-18,Y,Y
DOMINICAN REPUBLIC,2350,['United Kingdom'],Y,2020-09-18,Y,Y
ESTONIA,2350,['United Kingdom'],Y,2020-09-18,Y,Y
NIGER,2350,['United Kingdom'],Y,2020-09-18,Y,Y
SAINT VINCENT AND THE GRENADINES,2350,['United Kingdom'],Y,2020-09-18,Y,Y
CHINA,2355,['United States'],Y,2020-11-05,N,Y
FRANCE,2355,['United States'],Y,2020-11-05,Y,Y
RUSSIAN FEDERATION,2355,['United States'],Y,2020-11-05,N,N
UNITED KINGDOM,2355,['United States'],Y,2020-11-05,Y,Y
UNITED STATES,2355,['United States'],Y,2020-11-05,Y,Y
GERMANY,2355,['United States'],Y,2020-11-05,Y,Y
INDONESIA,2355,['United States'],Y,2020-11-05,A,Y
TUNISIA,2355,['United States'],Y,2020-11-05,A,Y
BELGIUM,2355,['United States'],Y,2020-11-05,Y,Y
SOUTH AFRICA,2355,['United States'],Y,2020-11-05,A,Y
VIET NAM,2355,['United States'],Y,2020-11-05,A,Y
DOMINICAN REPUBLIC,2355,['United States'],Y,2020-11-05,Y,Y
ESTONIA,2355,['United States'],Y,2020-11-05,Y,Y
NIGER,2355,['United States'],Y,2020-11-05,A,Y
SAINT VINCENT AND THE GRENADINES,2355,['United States'],Y,2020-11-05,A,Y
CHINA,2368,['United States'],Y,2021-02-11,Y,Y
FRANCE,2368,['United States'],Y,2021-02-11,Y,Y
RUSSIAN FEDERATION,2368,['United States'],Y,2021-02-11,N,Y
UNITED KINGDOM,2368,['United States'],Y,2021-02-11,Y,Y
UNITED STATES,2368,['United States'],Y,2021-02-11,Y,Y
KENYA,2368,['United States'],Y,2021-02-11,Y,Y
TUNISIA,2368,['United States'],Y,2021-02-11,Y,Y
IRELAND,2368,['United States'],Y,2021-02-11,Y,Y
NORWAY,2368,['United States'],Y,2021-02-11,Y,Y
MEXICO,2368,['United States'],Y,2021-02-11,Y,Y
VIET NAM,2368,['United States'],Y,2021-02-11,Y,Y
INDIA,2368,['United States'],Y,2021-02-11,Y,Y
ESTONIA,2368,['United States'],Y,2021-02-11,Y,Y
NIGER,2368,['United States'],Y,2021-02-11,Y,Y
SAINT VINCENT AND THE GRENADINES,2368,['United States'],Y,2021-02-11,Y,Y
CHINA,2380,['United Kingdom'],Y,2021-05-11,Y,Y
FRANCE,2380,['United Kingdom'],Y,2021-05-11,Y,Y
RUSSIAN FEDERATION,2380,['United Kingdom'],Y,2021-05-11,N,Y
UNITED KINGDOM,2380,['United Kingdom'],Y,2021-05-11,Y,Y
UNITED STATES,2380,['United Kingdom'],Y,2021-05-11,Y,Y
KENYA,2380,['United Kingdom'],Y,2021-05-11,Y,Y
TUNISIA,2380,['United Kingdom'],Y,2021-05-11,Y,Y
IRELAND,2380,['United Kingdom'],Y,2021-05-11,Y,Y
NORWAY,2380,['United Kingdom'],Y,2021-05-11,Y,Y
MEXICO,2380,['United Kingdom'],Y,2021-05-11,Y,Y
VIET NAM,2380,['United Kingdom'],Y,2021-05-11,Y,Y
INDIA,2380,['United Kingdom'],Y,2021-05-11,Y,Y
ESTONIA,2380,['United Kingdom'],Y,2021-05-11,Y,Y
NIGER,2380,['United Kingdom'],Y,2021-05-11,Y,Y
SAINT VINCENT AND THE GRENADINES,2380,['United Kingdom'],Y,2021-05-11,Y,Y
CHINA,2401,['United Kingdom'],Y,2021-09-17,N,Y
FRANCE,2401,['United Kingdom'],Y,2021-09-17,Y,Y
RUSSIAN FEDERATION,2401,['United Kingdom'],Y,2021-09-17,N,Y
UNITED KINGDOM,2401,['United Kingdom'],Y,2021-09-17,Y,Y
UNITED STATES,2401,['United Kingdom'],Y,2021-09-17,Y,Y
KENYA,2401,['United Kingdom'],Y,2021-09-17,Y,Y
TUNISIA,2401,['United Kingdom'],Y,2021-09-17,Y,Y
IRELAND,2401,['United Kingdom'],Y,2021-09-17,Y,Y
NORWAY,2401,['United Kingdom'],Y,2021-09-17,Y,Y
MEXICO,2401,['United Kingdom'],Y,2021-09-17,Y,Y
VIET NAM,2401,['United Kingdom'],Y,2021-09-17,Y,Y
INDIA,2401,['United Kingdom'],Y,2021-09-17,Y,Y
